Length ave. (nm) ,Diameter ave. (nm),BET (m2/g),Purity (%),Zave (batch),PdI (batch),Zave (12.5 ug/ml),PdI  (12.5 ug/ml),Zave  (200 ug/ml),PdI  (200 ug/ml),ROS,Peak (ug/ml),0 (ug/ml)_via,12.5 (ug/ml)_via,25 (ug/ml)_via,50 (ug/ml)_via,100 (ug/ml)_via,200 (ug/ml)_via,12.5 (ug/ml)_prolif,25 (ug/ml)_prolif,50 (ug/ml)_prolif,100 (ug/ml)_prolif,200 (ug/ml)_prolif,CEA: C.H.N.O (wt%),OH mmol/g,COOH mmol/g,Endotoxins (EU/mg),Diameter min. (nm),Diameter max. (nm),Type_COOH,Type_NH2,Type_OH,Type_PRISTINE,% Total Impurities,Genotoxicity
0.0,0.1982142857142857,0.559322033898305,0.9347826086956523,0.03639010189228531,0.3493333333333333,0.020378457059679778,0.23491027732463288,0.06788247213779129,0.3063063063063063,0.22077922077922074,1.0,0.25,0.1999999999999993,0.5,0.6666666666666643,0.75,0.8333333333333339,0.5263157894736843,0.4339622641509433,0.14084507042253513,0.278688524590164,0.49523809523809526,0.8000000000000007,0.07881773399014778,0.07920792079207921,0.33999999999999997,0.3325581395348837,0.20649350649350656,0.0,0.0,0.0,1.0,0.1349059659686363,0
0.09382177529868173,0.2839285714285714,0.5677966101694915,1.0,0.06695778748180492,0.7306666666666666,0.13245997088791853,0.3752039151712887,0.054204660587639314,0.5705705705705706,0.3896103896103896,1.0,0.0,0.0,0.5,0.5,0.625,0.6666666666666661,0.10526315789473695,0.0,0.0,0.06557377049180335,0.4666666666666667,0.9000000000000004,0.4088669950738917,0.4059405940594059,0.42,0.3906976744186046,0.29870129870129875,0.0,0.0,1.0,0.0,0.07564642442026638,0
0.039431780895948745,0.34285714285714286,0.521186440677966,1.0,0.035860791319306584,0.41333333333333333,0.014556040756914135,0.0978792822185971,0.031408308004052685,0.3573573573573574,0.10389610389610389,1.0,0.25,0.1999999999999993,0.5,0.6666666666666643,0.875,0.8333333333333339,0.368421052631579,0.6415094339622642,0.3098591549295774,0.47540983606557385,0.4380952380952382,0.8000000000000007,1.0000000000000002,1.0,0.5,0.37209302325581395,0.39480519480519477,1.0,0.0,0.0,0.0,0.04877955831634305,0
0.04871552373048192,0.7964285714285715,0.2711864406779661,0.9239130434782616,0.01177716024877598,0.026666666666666616,0.0,0.0,0.013171225937183381,0.0,0.29870129870129863,1.0,0.75,0.40000000000000213,0.8333333333333321,0.8333333333333321,1.0,0.8333333333333339,0.7894736842105263,0.9999999999999998,0.9014084507042254,1.0,0.8666666666666668,0.8000000000000007,0.03694581280788178,0.03465346534653465,0.48,0.872093023255814,0.7753246753246754,0.0,0.0,0.0,1.0,0.21988910272289017,0
0.15654976742390614,0.38750000000000007,0.23728813559322032,0.9347826086956523,0.045123726346433746,0.02400000000000002,0.4250363901018923,0.365415986949429,0.24164133738601828,0.8228228228228227,0.22077922077922074,1.0,0.75,0.40000000000000213,0.6666666666666643,0.8333333333333321,0.875,0.8333333333333339,0.631578947368421,0.6415094339622642,0.6338028169014084,0.6721311475409837,0.6380952380952382,0.9000000000000004,0.049261083743842374,0.04455445544554455,0.52,0.4441860465116279,0.4194805194805196,0.0,0.0,1.0,0.0,0.1907356948228883,1
0.199590820482137,0.34285714285714286,0.4279661016949152,0.6847826086956523,0.03215561730845573,0.0,0.27802037845705974,0.36378466557911915,0.0845997973657548,0.2552552552552554,0.1948051948051948,1.0,0.25,0.6000000000000014,0.5,0.8333333333333321,0.875,0.6666666666666661,0.5263157894736843,0.7169811320754718,0.7605633802816901,0.47540983606557385,0.18095238095238098,0.5,0.14778325123152714,0.14356435643564355,0.66,0.3395348837209302,0.41298701298701296,1.0,0.0,0.0,0.0,0.5177111716621252,1
0.038273725656713845,0.3232142857142858,0.8686440677966102,0.9456521739130448,0.019584491200211745,0.552,0.6593886462882097,0.40783034257748774,0.522289766970618,0.5735735735735736,0.857142857142857,0.09420289855072472,0.75,0.8000000000000007,0.8333333333333321,0.8333333333333321,1.0,0.8333333333333339,0.4736842105263157,0.49056603773584895,0.8732394366197184,0.7704918032786885,0.0,0.8000000000000007,0.14778325123152714,0.1485148514851485,0.36,0.3023255813953488,0.4051948051948053,0.0,0.0,0.0,1.0,0.1367161448905318,0
0.0026249252089324687,0.20714285714285716,0.8389830508474576,0.9456521739130448,0.04234484583829562,0.4666666666666668,0.1441048034934498,0.3132137030995106,0.09067882472137791,0.5345345345345345,0.2727272727272727,0.09420289855072472,1.0,1.0,1.0,1.0,1.0,0.8333333333333339,0.631578947368421,0.8113207547169812,0.5633802816901409,0.47540983606557385,0.08571428571428573,0.9000000000000004,0.056650246305418726,0.054455445544554455,0.0,0.29069767441860467,0.24285714285714294,0.0,0.0,1.0,0.0,0.13648749071092398,0
0.20943429001563374,0.12321428571428569,0.7076271186440678,0.9565217391304355,0.01865819769749899,0.45333333333333337,0.010189228529839889,0.34420880913539975,0.0,0.1981981981981984,0.2727272727272727,0.09420289855072472,1.0,0.6000000000000014,0.8333333333333321,0.8333333333333321,1.0,0.9999999999999982,0.5263157894736843,0.6603773584905661,0.47887323943661964,0.5081967213114755,0.3047619047619048,0.8000000000000007,0.13546798029556653,0.13366336633663364,0.039999999999999994,0.0,0.2831168831168831,1.0,0.0,0.0,0.0,0.1249404546407271,0
0.04095655362760804,0.06964285714285715,0.7669491525423728,0.9565217391304355,0.05875347360063521,1.0,0.07569141193595344,1.0,0.04508611955420466,1.0,0.4415584415584415,1.0,0.75,0.6000000000000014,0.6666666666666643,1.0,1.0,0.6666666666666661,0.5263157894736843,0.3396226415094339,0.46478873239436613,0.47540983606557385,0.09523809523809525,0.9000000000000004,0.07389162561576355,0.06930693069306931,0.08,0.21627906976744188,0.08441558441558444,0.0,1.0,0.0,0.0,0.1281987767001391,0
0.06332632066549575,0.0,1.0,0.0,0.0,0.42133333333333334,0.18777292576419216,0.535073409461664,0.07193515704154003,0.858858858858859,0.6623376623376622,0.0,1.0,0.6000000000000014,0.8333333333333321,1.0,1.0,0.6666666666666661,0.7894736842105263,0.8113207547169812,0.9999999999999999,0.8524590163934427,1.0,0.0,0.18719211822660103,0.18811881188118812,0.45999999999999996,0.18604651162790697,0.0,0.0,0.0,0.0,1.0,0.057754234865951486,1
0.6811487907973209,1.0,0.0,0.9989130434782609,1.0000000000000002,0.2559999999999999,0.6186317321688501,0.3409461663947797,0.26545086119554206,0.5885885885885886,0.0,0.8188405797101451,0.75,0.40000000000000213,0.16666666666666607,0.16666666666666607,0.5,0.16666666666666607,0.05263157894736836,0.037735849056603765,0.028169014084507005,0.0,0.3523809523809524,1.0,0.0,0.0,0.82,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.1646561540985505,0.0,0.8813559322033898,0.32282608695652293,0.004234484583829579,0.48,0.45269286754002913,0.3719412724306689,0.04305977710233029,0.4774774774774775,0.9999999999999999,1.0,1.0,0.6000000000000014,0.8333333333333321,0.8333333333333321,1.0,0.3333333333333339,0.9999999999999998,0.7169811320754718,0.6901408450704226,0.8852459016393444,0.3523809523809524,0.40000000000000036,0.06157635467980297,0.05940594059405941,0.0,0.18604651162790697,0.0,0.0,0.0,0.0,1.0,0.23781940130713974,1
0.16484916330508964,0.0357142857142857,0.885593220338983,0.0,0.04247717348154029,0.48,0.6433770014556042,0.4241435562805873,0.08257345491388045,0.6006006006006006,0.24675324675324672,1.0,0.75,0.6000000000000014,0.8333333333333321,0.8333333333333321,1.0,0.6666666666666661,0.21052631578947367,0.6037735849056602,0.3802816901408451,0.459016393442623,0.03809523809523811,0.9000000000000004,0.0394088669950739,0.03465346534653465,0.0,0.23255813953488372,0.025974025974025983,0.0,0.0,0.0,1.0,1.0,1
0.9999999999999998,0.9642857142857142,0.033898305084745756,0.9782608695652186,0.6155881963742227,0.07733333333333337,1.0,0.33442088091353994,1.0000000000000002,0.42642642642642636,0.03896103896103895,0.8188405797101451,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2075471698113207,0.07042253521126751,0.08196721311475408,0.4285714285714286,1.0,0.012315270935960593,0.009900990099009901,1.0,0.9302325581395349,0.9870129870129871,0.0,0.0,0.0,1.0,0.11718526704902728,1
